Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,Year,Month,sd,rolling_pr_3y,rolling_pr_2y,rolling_pr_1y,tas_range
2064-07-16,223.77773,125.137695,81.463425,1.0790664,28.659098,25.923492,31.394701,2.1135846560846527,23.36723544973544,2064,7,30.99305555555556,8427.1394,5676.2244200000005,3038.07466,5.471209000000002
2064-08-16,275.00284,132.01076,81.99259,1.1437482,28.445251,25.78006,31.110443,2.2664021164021064,21.248791486291484,2064,8,31.0,8525.79573,5799.86543,3042.1062500000003,5.330383000000001
2064-09-16,172.42651,78.86343,80.529045,0.8443392,28.643402,25.815498,31.471308,2.678804713804711,20.12096079846079,2064,9,29.997222222222224,8474.03711,5721.7072100000005,2962.2284799999998,5.655809999999999
2064-10-16,326.14743,113.62494,83.02723,0.89463943,27.818483,25.235365,30.401604,2.058095238095232,28.858442760942754,2064,10,31.0,8501.68567,5699.63,2976.80334,5.166238999999997
2064-11-16,241.26045,78.51423,82.34556,0.58686787,28.059662,25.471176,30.648148,0.956574074074074,29.07658730158729,2064,11,29.99861111111111,8435.39094,5642.4587200000005,2882.88871,5.176971999999999
2064-12-16,326.97897,108.28303,83.194336,0.54115397,28.009668,25.62266,30.396673,0.7775613275613195,30.52767676767676,2064,12,30.99734126984126,8449.07471,5620.85599,2859.14914,4.774013
2065-01-16,258.2682,106.93868,81.66947,0.26478973,27.469881,25.0607,29.879065,3.639523809523808,15.239761904761895,2065,1,30.99861111111111,8393.00563,5683.948469999999,2782.33839,4.818365
2065-02-16,124.05903,75.70778,80.67899,0.39213184,27.795797,25.256342,30.335249,6.696691919191909,14.590909090909085,2065,2,28.0,8370.21786,5691.0732100000005,2808.45647,5.078907000000001
2065-03-16,163.12016,82.36022,79.97226,0.029371252,28.289642,25.573074,31.00621,5.862198172198171,15.469515392015383,2065,3,31.0,8386.97156,5736.69828,2722.4653000000003,5.433136000000001
2065-04-16,182.4381,96.86411,81.39282,0.0365586,28.759985,26.03804,31.481926,2.139114959114954,21.9360594035594,2065,4,30.0,8376.0308,5715.20942,2727.4035,5.443886000000003
2065-05-16,260.1148,119.67733,82.37351,0.14483051,28.88267,26.305252,31.460083,0.3727741702741667,29.199630832130826,2065,5,31.0,8393.882889999999,5758.28642,2760.5677800000003,5.1548310000000015
2065-06-16,158.7315,87.47925,80.52395,-0.029004982,28.998278,26.274153,31.722406,2.6721789321789235,26.92503126503126,2065,6,30.0,8360.02868,5744.70302,2712.3257200000003,5.448253000000001
2065-07-16,162.4221,91.496346,80.09724,-0.2727207,28.771624,25.90512,31.638128,3.787580567580556,20.8537073112073,2065,7,30.99861111111111,8327.194510000001,5689.04475,2650.97009,5.733007999999998
2065-08-16,220.18652,107.749084,81.40073,-0.49524748,28.643389,25.911203,31.375578,1.2160846560846528,26.10278138528137,2065,8,31.0,8396.019199999999,5638.26002,2596.15377,5.464375
2065-09-16,287.5724,126.962494,82.04678,-0.025450626,28.444864,25.802622,31.08711,1.315571188071181,28.31400673400673,2065,9,30.0,8433.00687,5673.52814,2711.29966,5.284488
2065-10-16,284.19437,99.93942,81.78582,-0.18241388,28.283258,25.629473,30.93705,0.3677116402116319,29.29857503607502,2065,10,31.0,8368.9766,5646.14994,2669.3466,5.307576999999998
2065-11-16,371.4237,121.91154,83.47547,0.32154426,27.788855,25.306412,30.271296,0.385015632515625,29.858888888888888,2065,11,29.994444444444444,8441.96857,5682.39856,2799.50985,4.964883999999998
2065-12-16,299.54996,96.87402,83.16648,0.19924684,27.604721,25.256525,29.952917,1.216269841269838,29.411984126984123,2065,12,31.0,8392.93683,5631.22998,2772.08084,4.6963919999999995
2066-01-16,186.99776,74.43212,81.670654,-0.07876134,27.149332,24.761446,29.537222,4.436723184223172,15.908386243386238,2066,1,30.99380952380951,8384.75887,5483.14879,2700.8104000000003,4.7757760000000005
2066-02-16,235.24162,143.56613,83.02299,0.38295364,27.636688,25.281706,29.991674,2.181681096681088,23.806150793650787,2066,2,28.0,8503.0662,5620.44946,2811.9929899999997,4.709968
2066-03-16,211.27791,110.191216,81.72393,0.51318043,28.09361,25.539255,30.647963,2.155441317941308,25.57789201539201,2066,3,30.997222222222224,8596.84902,5582.61604,2860.15074,5.108708
