Year,Month,pr,tas,hurs,tasmax,tasmin
1970,6,151.68613,26.838337,80.74913,28.834745,24.84193
1970,7,217.11858,26.54015,81.825455,28.492256,24.588047
1970,8,210.93106,26.28887,81.74739,28.25015,24.327593
1970,9,169.8665,26.615099,81.10385,28.651077,24.579124
1970,10,277.38538,26.347416,82.9258,28.279385,24.415445
1970,11,334.28427,25.95086,83.959694,27.746622,24.1551
1970,12,224.87584,25.842073,83.76982,27.541199,24.142946
1971,1,229.93439,25.50384,83.36302,27.146282,23.861397
1971,2,148.9155,25.97981,83.56664,27.70166,24.257963
1971,3,147.80667,26.472353,81.75427,28.348553,24.596153
1971,4,219.89825,26.660894,82.27673,28.587088,24.734701
1971,5,237.56006,26.665846,82.378654,28.556849,24.774843
1971,6,164.53181,26.792974,80.94605,28.801216,24.784729
1971,7,159.65079,26.397596,80.12858,28.441141,24.354053
1971,8,180.9999,26.64339,80.97752,28.6301,24.656677
1971,9,199.81631,26.523294,80.70688,28.584818,24.46177
1971,10,279.87234,26.045895,82.550575,28.010088,24.081703
1971,11,288.20026,25.732986,84.29766,27.591648,23.87433
1971,12,344.14487,25.24324,84.75643,26.933512,23.552969
1972,1,186.94041,24.966776,82.724205,26.6331,23.300453
1972,2,114.39488,25.45865,82.22138,27.204147,23.713154
1972,3,203.63216,26.013765,82.19748,27.853643,24.173893
1972,4,123.014595,26.506535,80.47679,28.455421,24.55765
1972,5,125.80226,26.727804,80.73924,28.728071,24.727541
1972,6,196.176,26.525303,82.351295,28.501278,24.549332
1972,7,158.94737,26.401487,81.69106,28.427914,24.375063
1972,8,108.01103,26.32694,80.89919,28.403324,24.250559
1972,9,171.23723,26.09244,81.941574,28.08983,24.095047
1972,10,263.7344,25.992178,83.49696,27.877121,24.107237
1972,11,288.55396,26.25568,83.800705,28.138462,24.372902
1972,12,342.4255,25.754147,85.20753,27.358742,24.149551
1973,1,153.4339,25.841478,82.291916,27.54015,24.142807
