Year,Month,Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,sd
1960,12,1960-12-16,331.72903,108.1337,84.17809,-0.39724326,26.08921,23.726809,28.451612,0.443899711399699,29.98207190957191,30.79873015873015
1961,1,1961-01-16,231.93105,96.33991,83.3281,-0.17104892,25.971308,23.602205,28.340416,1.128464405964398,21.274345839345834,30.800793650793644
1961,2,1961-02-16,98.28103,51.495346,79.6943,-0.4029118,26.041573,23.34389,28.739252,7.164690957190949,15.384565897065892,27.855765993265987
1961,3,1961-03-16,222.93297,121.576805,82.06292,-0.30429974,26.383316,23.78301,28.983618,3.80165464165463,23.105501443001433,30.880555555555556
1961,4,1961-04-16,229.5649,121.452126,82.97042,-0.14853476,26.742407,24.146742,29.338072,1.4909535834535763,26.027508417508415,29.8746632996633
1961,5,1961-05-16,253.88542,118.61988,82.84898,0.05422607,27.027075,24.343008,29.711136,0.3411616161616088,30.49948412698412,30.924831649831646
1961,6,1961-06-16,219.26476,124.96987,82.53454,0.18512245,26.65767,24.073019,29.242317,0.46378667628666664,29.47537037037037,29.85378787878787
1961,7,1961-07-16,189.54,105.85498,81.643166,0.23281421,26.634668,23.890991,29.37835,3.356742424242419,27.85761544011543,30.861531986531975
1961,8,1961-08-16,229.27107,112.71758,82.334755,0.37213114,26.409182,23.6757,29.142668,1.346113516113507,24.493734968734966,30.80232443482443
1961,9,1961-09-16,246.80464,110.8198,82.53043,0.3320707,26.338755,23.639084,29.038431,0.3832383357383217,28.026708754208748,29.891901154401147
1961,10,1961-10-16,280.9507,98.861664,83.24471,0.46561494,25.997717,23.397257,28.598173,0.5673917748917708,30.927420634920622,30.82795454545454
1961,11,1961-11-16,300.95334,98.22245,83.94326,0.4646161,26.04109,23.548447,28.533731,0.15404761904761574,29.801944444444445,29.78564213564213
1961,12,1961-12-16,287.05875,95.0344,83.78903,0.338665,25.735056,23.34363,28.12648,1.3002777777777779,29.61650793650793,30.781111111111112
1962,1,1962-01-16,256.32474,100.972664,83.94912,0.42921725,25.553602,23.296957,27.81025,1.221364838864838,24.694696969696967,30.513191438191434
1962,2,1962-02-16,215.92358,133.38753,83.2009,0.8159726,25.891489,23.4765,28.306479,2.105169552669549,23.685092592592593,27.76074434824434
1962,3,1962-03-16,216.7943,116.619026,82.72967,0.7483406,26.048128,23.52302,28.573242,1.6607118807118748,26.16087662337662,30.745674603174596
1962,4,1962-04-16,214.77641,112.45219,82.6603,0.6646607,26.749735,24.115,29.384474,0.6451130351130324,25.995524290524283,29.907744107744097
1962,5,1962-05-16,228.0591,106.45762,82.81717,0.5890017,26.695,24.095152,29.294847,1.014141414141412,29.85996031746031,30.845990860990856
1962,6,1962-06-16,212.88904,121.870094,82.98344,0.5765216,26.457434,23.880499,29.03437,0.6675721500721412,28.854373496873492,29.849575517075507
1962,7,1962-07-16,195.23157,108.18917,82.25271,0.59667224,26.645636,23.965414,29.325857,1.369095719095706,28.53100649350648,30.83556397306397
1962,8,1962-08-16,136.14073,67.75498,80.723854,0.30415428,26.763283,23.90161,29.624962,1.9655916305916203,20.024146224146214,30.9337542087542
1962,9,1962-09-16,259.3395,116.2685,82.37176,0.3436046,26.34877,23.614151,29.083395,0.35097162097160883,28.507057479557478,29.890018037518033
1962,10,1962-10-16,287.156,101.458595,83.10405,0.364592,26.289873,23.64253,28.937223,1.0523544973544907,30.907063492063482,30.873424723424723
1962,11,1962-11-16,333.01187,108.69208,84.36917,0.47144225,26.01224,23.579887,28.44459,0.15916666666666668,29.8247619047619,29.770875420875413
1962,12,1962-12-16,279.06924,92.14862,83.43982,0.48717535,25.449722,23.068766,27.830683,0.6701587301587268,30.190317460317456,30.624935064935055
1963,1,1963-01-16,197.10585,82.88496,82.1829,0.3241695,25.02455,22.698257,27.35084,3.958499278499271,18.552610630110625,29.86308441558441
1963,2,1963-02-16,246.29785,147.5142,84.58493,0.41498557,25.295378,23.013128,27.577631,1.1309126984126967,25.180674603174594,27.481089466089454
1963,3,1963-03-16,221.26337,123.23328,83.25459,0.43040934,25.895739,23.36978,28.421694,1.5788564213564122,27.284841269841262,30.64369047619047
1963,4,1963-04-16,198.28838,102.263664,82.81022,0.36871,26.399094,23.797876,29.000313,0.9150769600769559,25.394581529581526,29.851220538720533
1963,5,1963-05-16,135.88289,63.840378,81.16926,0.08319513,26.936356,24.102846,29.769861,2.1228811928811804,25.275511063011052,30.975
